,Dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
1022,4/12/2012,-2.078451248,-2.306351048,-2.232793859,-2.556777784,-2.677941617,-2.521722122,-2.387544896,-2.475784444,-2.349791953,-2.532408231,-2.466689246,-2.354492979,-2.818555019,-2.564841859,-2.643939592,-2.227261861,-2.166336051,-2.093083829,-2.264718561,-2.24047741,-2.099611711
1023,4/15/2012,-2.344172697,-2.078451248,-2.306351048,-2.595720236,-2.556777784,-2.677941617,-2.614786757,-2.387544896,-2.475784444,-2.638384234,-2.532408231,-2.466689246,-2.774198922,-2.818555019,-2.564841859,-2.296681456,-2.227261861,-2.166336051,-2.197674957,-2.264718561,-2.24047741
1024,4/16/2012,-2.285535171,-2.344172697,-2.078451248,-2.585350087,-2.595720236,-2.556777784,-2.350852608,-2.614786757,-2.387544896,-2.293906429,-2.638384234,-2.532408231,-2.718235148,-2.774198922,-2.818555019,-2.148167612,-2.296681456,-2.227261861,-2.079163213,-2.197674957,-2.264718561
1025,4/17/2012,-2.4554867,-2.285535171,-2.344172697,-2.424084645,-2.585350087,-2.595720236,-2.59956424,-2.350852608,-2.614786757,-2.58479486,-2.293906429,-2.638384234,-2.855345956,-2.718235148,-2.774198922,-2.24832334,-2.148167612,-2.296681456,-2.286722544,-2.079163213,-2.197674957
1026,4/18/2012,-2.464518216,-2.4554867,-2.285535171,-2.654656791,-2.424084645,-2.585350087,-2.463408312,-2.59956424,-2.350852608,-2.393261314,-2.58479486,-2.293906429,-2.572609688,-2.855345956,-2.718235148,-2.272662192,-2.24832334,-2.148167612,-2.242549149,-2.286722544,-2.079163213
1027,4/19/2012,-2.337532461,-2.464518216,-2.4554867,-2.528320085,-2.654656791,-2.424084645,-2.432293839,-2.463408312,-2.59956424,-2.491686638,-2.393261314,-2.58479486,-2.838727043,-2.572609688,-2.855345956,-2.18339275,-2.272662192,-2.24832334,-2.215369716,-2.242549149,-2.286722544
1028,4/22/2012,-2.537145757,-2.337532461,-2.464518216,-2.756751401,-2.528320085,-2.654656791,-2.584410115,-2.432293839,-2.463408312,-2.550174017,-2.491686638,-2.393261314,-2.671411549,-2.838727043,-2.572609688,-2.335977434,-2.18339275,-2.272662192,-2.344308888,-2.215369716,-2.242549149
1029,4/23/2012,-2.400129261,-2.537145757,-2.337532461,-2.601747492,-2.756751401,-2.528320085,-2.495936808,-2.584410115,-2.432293839,-2.723461887,-2.550174017,-2.491686638,-2.941660323,-2.671411549,-2.838727043,-2.307397577,-2.335977434,-2.18339275,-2.315981439,-2.344308888,-2.215369716
1030,4/24/2012,-2.290825628,-2.400129261,-2.537145757,-2.707872535,-2.601747492,-2.756751401,-2.698172428,-2.495936808,-2.584410115,-2.734525911,-2.723461887,-2.550174017,-2.898340335,-2.941660323,-2.671411549,-2.511358651,-2.307397577,-2.335977434,-2.354494804,-2.315981439,-2.344308888
1031,4/25/2012,-2.411250623,-2.290825628,-2.400129261,-2.710966226,-2.707872535,-2.601747492,-2.459498409,-2.698172428,-2.495936808,-2.39531478,-2.734525911,-2.723461887,-2.475489612,-2.898340335,-2.941660323,-2.317229112,-2.511358651,-2.307397577,-2.245909713,-2.354494804,-2.315981439
1032,4/26/2012,-2.550299353,-2.411250623,-2.290825628,-2.791198144,-2.710966226,-2.707872535,-2.602646684,-2.459498409,-2.698172428,-2.68365035,-2.39531478,-2.734525911,-2.982823016,-2.475489612,-2.898340335,-2.419929534,-2.317229112,-2.511358651,-2.200493194,-2.245909713,-2.354494804
1033,4/29/2012,-2.49354434,-2.550299353,-2.411250623,-2.715113529,-2.791198144,-2.710966226,-2.557705302,-2.602646684,-2.459498409,-2.471511046,-2.68365035,-2.39531478,-2.720176157,-2.982823016,-2.475489612,-2.306732685,-2.419929534,-2.317229112,-2.213059453,-2.200493194,-2.245909713
1034,4/30/2012,-2.763882167,-2.49354434,-2.550299353,-2.769200322,-2.715113529,-2.791198144,-2.908401036,-2.557705302,-2.602646684,-2.930693369,-2.471511046,-2.68365035,-3.075257872,-2.720176157,-2.982823016,-2.683749078,-2.306732685,-2.419929534,-2.498819796,-2.213059453,-2.200493194
1035,5/1/2012,-2.046074639,-2.763882167,-2.49354434,-2.649086585,-2.769200322,-2.715113529,-2.567359203,-2.908401036,-2.557705302,-2.661846359,-2.930693369,-2.471511046,-2.87618975,-3.075257872,-2.720176157,-2.592142145,-2.683749078,-2.306732685,-2.419047634,-2.498819796,-2.213059453
1036,5/2/2012,-2.545985245,-2.046074639,-2.763882167,-2.764088092,-2.649086585,-2.769200322,-2.511010356,-2.567359203,-2.908401036,-2.450760903,-2.661846359,-2.930693369,-2.77304791,-2.87618975,-3.075257872,-2.420185847,-2.592142145,-2.683749078,-2.480857792,-2.419047634,-2.498819796
1037,5/3/2012,-2.551453805,-2.545985245,-2.046074639,-2.711537062,-2.764088092,-2.649086585,-2.619715769,-2.511010356,-2.567359203,-2.745037187,-2.450760903,-2.661846359,-3.001216976,-2.77304791,-2.87618975,-2.425668974,-2.420185847,-2.592142145,-2.243457555,-2.480857792,-2.419047634
1038,5/6/2012,-2.538284452,-2.551453805,-2.545985245,-2.510671658,-2.711537062,-2.764088092,-2.747200684,-2.619715769,-2.511010356,-2.746997004,-2.745037187,-2.450760903,-2.966614343,-3.001216976,-2.77304791,-2.451937837,-2.425668974,-2.420185847,-2.405950138,-2.243457555,-2.480857792
1039,5/7/2012,-2.369236429,-2.538284452,-2.551453805,-2.591638283,-2.510671658,-2.711537062,-2.320852843,-2.747200684,-2.619715769,-2.379169454,-2.746997004,-2.745037187,-2.924052378,-2.966614343,-3.001216976,-2.227560642,-2.451937837,-2.425668974,-2.216112796,-2.405950138,-2.243457555
1040,5/8/2012,-2.365881697,-2.369236429,-2.538284452,-2.662811575,-2.591638283,-2.510671658,-2.526954293,-2.320852843,-2.747200684,-2.545818565,-2.379169454,-2.746997004,-3.014342604,-2.924052378,-2.966614343,-2.246339136,-2.227560642,-2.451937837,-2.230510992,-2.216112796,-2.405950138
1041,5/9/2012,-2.244815765,-2.365881697,-2.369236429,-2.521826207,-2.662811575,-2.591638283,-2.423745051,-2.526954293,-2.320852843,-2.492057033,-2.545818565,-2.379169454,-2.805064077,-3.014342604,-2.924052378,-2.158329492,-2.246339136,-2.227560642,-2.131019885,-2.230510992,-2.216112796
1042,5/10/2012,-2.143307301,-2.244815765,-2.365881697,-2.55170166,-2.521826207,-2.662811575,-2.614800971,-2.423745051,-2.526954293,-2.625640316,-2.492057033,-2.545818565,-2.744731852,-2.805064077,-3.014342604,-2.183799321,-2.158329492,-2.246339136,-2.114420674,-2.131019885,-2.230510992
1043,5/13/2012,-2.271651905,-2.143307301,-2.244815765,-2.343900046,-2.55170166,-2.521826207,-2.614378705,-2.614800971,-2.423745051,-2.614231669,-2.625640316,-2.492057033,-2.815422786,-2.744731852,-2.805064077,-2.187540052,-2.183799321,-2.158329492,-2.229432712,-2.114420674,-2.131019885
