,Dates,1,2,3,4,5,6,7,8,9
165,12/24/2008,-1.826980372,-2.356492267,-2.270793349,-2.570828958,-0.550665233,-1.582890333,-0.144673746,-1.560982679,-0.650469211
166,12/28/2008,-1.60602902,-1.728437178,-1.475272052,-1.537879938,-1.500408491,-0.694356493,-1.183601365,-1.451843504,-1.2117674
167,12/29/2008,-1.596690238,-1.603675043,-1.552305242,-1.578153918,-1.660876746,-0.619026355,-1.257174949,-1.36010211,-1.159289113
168,12/31/2008,-1.549571356,-1.83372552,-2.60039677,-2.051264126,-2.750317458,-0.780885509,-1.608454274,-1.443711943,-1.986277909
169,1/1/2009,-1.360139022,-1.727046773,-1.424401841,-1.64478844,-1.334966051,-0.686825118,-1.282174683,-1.411565196,-1.070856406
170,1/4/2009,-1.332522129,-1.383127889,-1.301834833,-1.498569184,-1.487399504,-1.354304421,-1.195498351,-1.250204881,-1.124536577
171,1/5/2009,-1.261650873,-1.371443425,-1.463543608,-1.455405802,-1.377769089,-1.089746801,-1.228847779,-1.345894461,-1.172508692
172,1/6/2009,-1.345276421,-1.546416625,-1.448321319,-1.490540105,-1.434033094,-0.521061443,-1.319505489,-1.373564831,-1.327520996
173,1/7/2009,-1.077408225,-1.517639218,-1.524802699,-1.528092786,-1.338953041,-0.632228854,-1.194358733,-1.269968609,-1.208771418
174,1/8/2009,-1.348266414,-1.719129958,-1.5245218,-1.605759525,-1.530764693,-0.956757791,-1.246238267,-1.307105961,-1.295762976
175,1/11/2009,-1.331138302,-1.796387469,-1.684392677,-1.667964092,-1.562231054,-0.118904788,-1.163566655,-1.410630093,-1.287452002
176,1/12/2009,-1.221541681,-1.53319013,-1.72608853,-1.675439191,-1.559767028,-0.561269851,-1.239314742,-1.037120619,-1.175328781
177,1/13/2009,-1.236246905,-1.534123799,-1.743321962,-1.604374283,-1.593828266,-0.796271665,-1.148258439,-1.212144552,-1.036446108
178,1/14/2009,-1.005187127,-1.57884259,-1.613063263,-1.40596412,-1.511557782,-0.748774979,-1.055301409,-0.943491711,-1.040881147
179,1/15/2009,-1.21896779,-1.544518879,-1.747423956,-1.638475546,-1.46835817,-1.134184617,-1.20745172,-1.036068556,-1.169224072
180,1/18/2009,-1.416015841,-1.789887437,-1.827755298,-1.882102348,-1.470614401,-0.645378541,-1.284570532,-1.48219628,-1.11654466
181,1/19/2009,-1.180398415,-1.572861091,-1.552960261,-1.658161284,-1.089056446,-0.656214372,-1.309467843,-1.126676596,-1.222118091
182,1/20/2009,-1.040923543,-1.513389829,-1.612973937,-1.467460237,-1.050252395,-0.715424506,-1.086579484,-0.965006647,-1.068757143
183,1/21/2009,-1.097892211,-1.489896202,-1.756393459,-1.518518072,-1.261538231,-0.752004405,-1.250385762,-1.037406056,-1.183229612
184,1/22/2009,-1.33195877,-1.587722753,-1.692976668,-1.557221081,-1.248143578,-0.912287885,-1.245988904,-1.179769223,-1.052827208
185,1/25/2009,-1.294240345,-1.570980261,-1.627788385,-1.600596942,-1.186599273,-0.628825188,-1.196198665,-1.185730922,-1.073074944
186,1/26/2009,-1.214865495,-1.629859594,-1.631886711,-1.496677639,-1.353461135,-0.796271665,-1.282672931,-1.260321764,-1.039711723
187,1/27/2009,-1.220559664,-1.468189314,-1.586123927,-1.529590016,-1.442992988,-0.627888497,-1.270682853,-0.959443032,-1.114560132
188,1/28/2009,-1.259582687,-1.725007368,-1.775990212,-1.658715066,-1.477050263,-0.840136342,-1.384204852,-1.176958235,-1.233262554
189,1/29/2009,-1.287079365,-1.632501129,-1.644805959,-1.759944035,-1.514561147,-0.70208975,-1.225788391,-1.215596026,-1.213589801
190,2/1/2009,-1.471252545,-1.831047061,-1.86802881,-1.743720562,-1.417842672,-0.794526463,-1.420779285,-1.172025466,-1.131562511
191,2/2/2009,-1.068667267,-1.679776605,-1.698345833,-1.588332597,-1.390855884,-0.748774979,-1.16246247,-1.083991708,-1.206342507
192,2/3/2009,-1.105129944,-1.646101482,-1.704751972,-1.695834114,-1.49666894,-1.398839125,-1.331960335,-1.069990021,-1.266725691
