,0,1,2,3,4,5,6,7,8
69,-1.7291403825917095,-2.1067162517873887,-1.9700809148433878,-2.0824050063314004,-2.151351934149164,-1.8965541202694465,-1.893715592685155,-1.6248300292256528,-1.8612060296450683
70,-1.4511268196449425,-2.00484918000575,-2.0101416810128567,-2.1644576617750046,-1.9009191712084164,-1.6167336084833612,-1.9171180056084878,-1.3314372291430125,-1.8870088193935481
71,-1.6339773348396625,-2.153318277760927,-2.059996482627384,-2.1392295934600316,-2.1542271836339637,-1.8471404433158414,-2.0302687473397363,-1.6468951764320738,-1.9118227541764936
72,-1.7154369185217182,-2.08495889781599,-2.1617314584466545,-2.3528892977675633,-2.227741550610226,-1.8417506209076921,-2.1130150978720423,-1.5818925536935053,-2.0058578139615038
73,-1.9606192164062737,-2.286106608316298,-2.2131539423486752,-2.362942304134511,-2.296432877471298,-2.101789473790748,-2.2126372535988574,-1.8326193085288816,-2.046081311637267
74,-1.927074649135463,-2.4230477089870024,-2.2108212568384475,-2.248412147607146,-2.2905272444073947,-2.0287881683304283,-2.202833901159328,-1.8553279227436688,-2.066465216940027
75,-2.037030046317804,-2.186066101778967,-2.244331873476777,-2.32034898925881,-2.481106167136349,-1.9773230109252502,-2.1867626072615667,-1.9255850334786047,-2.0415046987738945
76,-1.8580315794087805,-2.1396563697435127,-2.135808499625217,-2.2634305090124305,-2.3012748618761414,-1.8883645303588104,-2.1262770363783905,-1.8583471934917821,-2.097618004949742
77,-2.079892023350442,-2.3763093094892986,-2.246523717589591,-2.4227756105181126,-2.3115952959836146,-1.9265187331986173,-2.0818111002399027,-2.0266336440376853,-2.0177982782561585
78,-2.008576865841508,-2.32717905373973,-2.3339986621135393,-2.4885274067962677,-2.3793942062791995,-1.9177000081923372,-2.3263260392005494,-1.9571650829973635,-2.1183116317799695
79,-1.8142617624649389,-2.074420950470777,-2.078748617175927,-2.0755340924173904,-2.2073164974856536,-1.927360252070498,-2.083060688099546,-1.753178869007594,-1.7783707381632239
80,-1.951300055602556,-2.264119679036348,-2.101552231918161,-2.192340736748091,-2.2824654952055226,-1.8685938040161176,-1.9836304133660612,-1.8087826512009357,-1.9691211169170564
81,-1.7877974223463196,-2.3110966770855828,-2.117502177209923,-2.1573167112976264,-2.215591140030302,-1.8030626172072761,-2.1611932528228275,-1.8087174876928778,-1.9685913654718248
82,-1.9637991427071853,-2.2874200769348265,-2.1036126865256097,-2.3301202934391108,-2.3630591102534972,-1.8014071865007002,-2.1442045518835005,-1.9554092570342447,-2.0035022080870397
83,-2.139010764249509,-2.246401609529799,-2.3097002306561962,-2.4548327365327087,-2.1786300615415914,-1.7428634897757362,-2.194754009063731,-2.02867256329212,-1.9506554571486523
84,-1.4760623548956218,-2.065367707132594,-2.118010237213063,-2.166907388798915,-1.857980930393886,-1.6961264702236059,-2.0450477655075145,-1.5450595191417391,-1.9888490089101962
85,-1.458620486648345,-1.9021809165497592,-1.9781183956077408,-2.0964461298678008,-1.9954643031780168,-1.9153516375572486,-1.9801798645402873,-1.3859121081625256,-1.9333658028655236
86,-1.7049921337520868,-2.0483115534242624,-2.0263195429706724,-2.0897206890231046,-1.89467724939803,-1.7489091171865814,-1.9721685722854525,-1.6124737459164404,-1.8263929828175354
87,-1.1324357227782542,-1.805281414056644,-1.703414440153705,-1.7197577032568543,-1.8139618190648525,-1.3340036493678031,-1.6224591808288185,-1.117005908491027,-1.426328990917575
88,-1.1811294620326593,-1.9665779716907565,-1.726045220660818,-1.7696117749222948,-1.5904171353634524,-1.4943017648286931,-1.6575550095949727,-1.2091124417196808,-1.4640151356991662
89,-1.284016502257102,-2.1519557880870885,-1.8125516112223272,-1.858151226825255,-1.8789542590547046,-1.5676366087543094,-1.733854135145571,-1.2665510611053539,-1.6779544534843216
